"GEOID","NAME","variable","estimate","moe","varlab"
"3604102","NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York","S1701_C03_001",15,4,"Poverty"
"3604102","NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York","S2801_C02_017",68.8,4,"Broadband"
"3604103","NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York","S1501_C02_015",27.2,2.2,"Education"
"3604103","NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York","S1701_C03_001",14.8,2.4,"Poverty"
"3604103","NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York","S2801_C02_017",55.9,3.6,"Broadband"
"3604104","NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York","S1501_C02_015",47.6,3.4,"Education"
"3604104","NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York","S1701_C03_001",6.4,2.4,"Poverty"
"3604104","NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York","S2801_C02_017",75.7,3.4,"Broadband"
"3604105","NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York","S1501_C02_015",31,2,"Education"
"3604105","NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York","S1701_C03_001",5.5,1.3,"Poverty"
"3604105","NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York","S2801_C02_017",63.3,3.3,"Broadband"
"3604106","NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York","S1501_C02_015",41.1,3.1,"Education"
"3604106","NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York","S1701_C03_001",11.5,3.2,"Poverty"
"3604106","NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York","S2801_C02_017",71.5,4.4,"Broadband"
"3604107","NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York","S1501_C02_015",24.8,2.9,"Education"
"3604107","NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York","S1701_C03_001",10.2,2.3,"Poverty"
"3604107","NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York","S2801_C02_017",60.7,4.5,"Broadband"
"3604108","NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York","S1501_C02_015",60.4,3.4,"Education"
"3604108","NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York","S1701_C03_001",11.1,3.2,"Poverty"
"3604108","NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York","S2801_C02_017",78,3.4,"Broadband"
"3604109","NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York","S1501_C02_015",43.4,3.2,"Education"
"3604109","NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York","S1701_C03_001",9.2,2.2,"Poverty"
"3604109","NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York","S2801_C02_017",77.8,3.2,"Broadband"
"3604110","NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York","S1501_C02_015",32,2.3,"Education"
"3604110","NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York","S1701_C03_001",8.4,2,"Poverty"
"3604110","NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York","S2801_C02_017",76.7,2.3,"Broadband"
"3604111","NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York","S1501_C02_015",30.9,2.5,"Education"
"3604111","NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York","S1701_C03_001",10.1,2.4,"Poverty"
"3604111","NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York","S2801_C02_017",76.8,3.3,"Broadband"
"3604112","NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York","S1501_C02_015",21.6,1.8,"Education"
"3604112","NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York","S1701_C03_001",10.6,1.8,"Poverty"
"3604112","NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York","S2801_C02_017",61.2,3.4,"Broadband"
"3604113","NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York","S1501_C02_015",23.9,3.3,"Education"
"3604113","NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York","S1701_C03_001",7.5,1.9,"Poverty"
"3604113","NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York","S2801_C02_017",74.2,3.5,"Broadband"
"3604114","NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York","S1501_C02_015",24.6,3.1,"Education"
"3604114","NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York","S1701_C03_001",18.1,3.4,"Poverty"
"3604114","NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York","S2801_C02_017",65.3,4.6,"Broadband"
